Geneid	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	gene_name
ENSMUSG00000063171	1916.0484440674213	3.900664721703738	0.1140332727135798	34.2063735336364	1.9439703973278003e-256	3.4417995884688704e-252	Rps4l
ENSMUSG00000026674	234.34569112699668	-5.282348509852355	0.2994264467228431	-17.641556274225284	1.1816138817951976e-69	1.0460236888591987e-65	Ddr2
ENSMUSG00000029468	259.0354643708663	-3.819155547787719	0.22172822544626253	-17.224489755876025	1.7395496473942822e-66	1.026624216903859e-62	P2rx7
ENSMUSG00000078853	1289.7563355065272	-2.6584117966678344	0.18648076027278146	-14.255689395405438	4.132015172744021e-46	1.8289332158358225e-42	Igtp
ENSMUSG00000045165	269.59035031462565	2.5232646870136626	0.1840728116376294	13.707970582755198	9.096672705948202e-43	3.2211318051762584e-39	AI467606
ENSMUSG00000023249	1327.4405398011359	-1.7315986595719823	0.13777922741622817	-12.567922552946671	3.1694301440791075e-36	9.3524601168201e-33	Parp3
ENSMUSG00000069874	918.6329527528208	-2.377854799147998	0.1979329056252953	-12.013438551998473	3.0202061447883216e-33	7.638964256211033e-30	Irgm2
ENSMUSG00000022587	20293.752143497797	-1.7596927138008398	0.15221245708757705	-11.560766756352812	6.512466332718234e-31	1.4412902052597042e-27	Ly6e
ENSMUSG00000031389	315.6831469564659	1.8848027147861177	0.16383395027095282	11.504347613354755	1.2543422909875355e-30	2.4675700291038127e-27	Arhgap4
ENSMUSG00000037321	5321.53402016346	-1.5553344538255007	0.15028371987770878	-10.349320971633732	4.214643213305286e-25	7.462025809157009e-22	Tap1
ENSMUSG00000085399	111.78000442376654	-2.761265111618225	0.27284707070366937	-10.120193354090096	4.4952669680603336e-24	7.235336515409836e-21	Foxd2os
ENSMUSG00000029781	537.8577955379815	1.5865691979896266	0.1579939734061146	10.041960232947874	9.967341316205001e-24	1.470598150028413e-20	Fkbp9
ENSMUSG00000039114	326.35593343970805	2.717093554986299	0.2822529938863407	9.62644724356913	6.183031925890758e-22	8.42081386522276e-19	Nrn1
ENSMUSG00000020183	1100.2693105389947	1.392825295049549	0.14658827960398665	9.501614309222504	2.0666134492809793e-21	2.6135279371085526e-18	Cpm
ENSMUSG00000022504	1583.014343620782	-3.8386690056728807	0.40893617017047934	-9.38696375053495	6.175476067053692e-21	7.289120251145707e-18	Ciita
ENSMUSG00000044827	647.8741295438481	-1.5530820888690597	0.1705236454946533	-9.107722769847516	8.41292158097179e-20	9.309423536944097e-17	Tlr1
ENSMUSG00000013076	109.06994005498177	2.8935520994889683	0.32252814139371366	8.97147172022046	2.9257857973187227e-19	3.0471198553839995e-16	Amotl1
ENSMUSG00000033066	267.3413594481346	-2.1543454057120637	0.2497079168074083	-8.62746136869037	6.272871350374149e-18	6.170065958798572e-15	Gas7
ENSMUSG00000022043	345.8446302312393	1.4860517018695962	0.17262244317252795	8.60868189882099	7.390541593319219e-18	6.886817837353514e-15	Trim35
ENSMUSG00000026204	349.97078335431047	1.4726010296148095	0.17150605757734855	8.586291647166295	8.982148158755813e-18	7.951446657538584e-15	Ptprn
ENSMUSG00000038740	232.80159918678976	2.04390911254205	0.2406368571562056	8.493749198258847	2.0007581320041985e-17	1.6868296536730634e-14	Mvb12b
ENSMUSG00000074440	761.9519352898818	1.503013268642589	0.17889232467738755	8.401776159782743	4.3977552258188123e-17	3.539193466960094e-14	Defa3
ENSMUSG00000060586	7320.519091710381	-5.123616910924653	0.616097750608184	-8.31624024899758	9.079767414938456e-17	6.989447047021103e-14	H2-Eb1
ENSMUSG00000048330	144.42454936748314	1.8958203240041247	0.2308888040695363	8.210966883579008	2.194143996327706e-16	1.6186383106242515e-13	Ric3
ENSMUSG00000040345	133.6096661957397	1.8480829255675568	0.2266319582115228	8.154555695285845	3.5046588197603696e-16	2.386537861686821e-13	Arhgap9
