baitID	Cov1	Cov2	Cov_weighted	Cov_pooled	Cov1_allSigInteractions	Cov2_allSigInteractions	Cov_weighted_allSigInteractions	Cov_pooled_allSigInteractions	Cov1_perSigInteraction	Cov2_perSigInteraction	Cov_weighted_perSigInteraction	Cov_pooled_perSigInteraction	Number_interactions	Number_B2B_interactions	Number_signif_interactions	Number_signif_B2B_interactions	Number_signif_interactions_onSameChr	Number_signif_interactions_onSameChr_byBothReps	Number_signif_interactions_byBothReps	Number_signif_B2B_interactions_byBothReps	Distance_signif_mean	Distance_signif_median	Distance_signif_min	Distance_signif_max	Distance_signif_mean_B2B	Distance_signif_median_B2B	Distance_signif_min_B2B	Distance_signif_max_B2B	GCplusCpG_percent_promFrag	CpG_percent_promFrag	genename
4011695	1146	1444	1471	2590	388	555	476	2590	6.92857142857143	9.91071428571429	8.5	16.8392857142857	603	10	56	0	36	34	54	0	34295713.0277778	25241826	133046	96623764	NA	NA	NA	NA	12.93	6.24	Klf4
5546150	1410	1756	1774	3166	631	739	692	3166	8.41333333333333	9.85333333333333	9.22666666666667	18.2666666666667	654	12	75	0	38	38	75	0	25902003.7631579	27495343	141872	66353229	NA	NA	NA	NA	10.63	3.62	Klf2
3570493	1401	1313	1452	2714	901	786	837	2714	10.855421686747	9.46987951807229	10.0843373493976	20.3253012048193	412	11	83	0	57	57	82	0	17791280.3508772	4025052	249318	122959312	NA	NA	NA	NA	15.67	6.06	Sox2
1295638	3642	3707	3992	7349	1934	2222	2091	7349	14.8769230769231	17.0923076923077	16.0846153846154	31.9692307692308	999	12	130	0	77	77	128	0	21193899.4805195	16597329	72234	82261948	NA	NA	NA	NA	11.29	4.09	Esrrb.2
4937588	1105	1129	1359	2234	369	381	374	2234	8.58139534883721	8.86046511627907	8.69767441860465	17.4418604651163	704	12	43	0	36	36	42	0	23824159.3333333	11167944	94682	115823876	NA	NA	NA	NA	7.47	1.44	Nanog
4936626	1774	1575	1848	3349	952	806	881	3349	11.0697674418605	9.37209302325581	10.2441860465116	20.4418604651163	658	10	86	0	59	59	85	0	24245873.3050847	15192476	30263	118862518	NA	NA	NA	NA	22.97	11	Phc1
3455449	1762	2274	2161	4036	922	1340	1140	4036	8.53703703703704	12.4074074074074	10.5555555555556	20.9444444444444	557	13	108	0	69	68	106	0	28945868.3913043	11358250	63360	156966486	NA	NA	NA	NA	14.89	6.51	Sall4
1038483	1398	1311	1467	2709	612	579	595	2709	10.3728813559322	9.8135593220339	10.0847457627119	20.1864406779661	478	11	59	0	26	26	59	0	11674293.8076923	9535675.5	61548	39671644	NA	NA	NA	NA	14.23	6.43	Stat3
1984935	1413	1926	1881	3339	545	848	700	3339	7.36486486486486	11.4594594594595	9.45945945945946	18.8243243243243	761	10	74	0	47	47	74	0	30035261.0425532	16960225	51984	96331294	NA	NA	NA	NA	23.71	10.19	Lifr
292283	882	918	1022	1800	266	441	359	1800	5.91111111111111	9.8	7.97777777777778	15.7111111111111	471	9	45	0	33	33	45	0	21184978.6060606	15409450	113472	75489186	NA	NA	NA	NA	9.55	3.12	Tfcp2l1
5876325	1068	1093	1277	2161	390	397	398	2161	7.95918367346939	8.10204081632653	8.12244897959184	16.0612244897959	650	10	49	0	28	27	47	0	22792014.5357143	22207051.5	52455	61410623	NA	NA	NA	NA	9.21	3.32	Dppa5a
2242870	1912	2101	2266	4013	1211	1243	1230	4013	15.525641025641	15.9358974358974	15.7692307692308	31.4615384615385	673	9	78	0	44	44	78	0	19147271.7045455	6240516.5	19891	87234645	NA	NA	NA	NA	7.95	1.09	Ciita_1
2242890	3089	3004	3294	6093	1703	1635	1674	6093	17.03	16.35	16.74	33.38	805	10	100	0	39	39	97	0	17360059.9230769	6379423	42807	87436010	NA	NA	NA	NA	6.55	1.17	Ciita_2
2242893	2961	3534	3634	6495	1756	1779	1770	6495	17.9183673469388	18.1530612244898	18.0612244897959	36.0714285714286	1043	13	98	0	48	48	98	0	17234025.1666667	5762532.5	92056	85310476	NA	NA	NA	NA	11.89	2.44	Ciita_3
