baitID	Cov1	Cov2	Cov_weighted	Cov_pooled	Cov1_allSigInteractions	Cov2_allSigInteractions	Cov_weighted_allSigInteractions	Cov_pooled_allSigInteractions	Cov1_perSigInteraction	Cov2_perSigInteraction	Cov_weighted_perSigInteraction	Cov_pooled_perSigInteraction	Number_interactions	Number_B2B_interactions	Number_signif_interactions	Number_signif_B2B_interactions	Number_signif_interactions_onSameChr	Number_signif_interactions_onSameChr_byBothReps	Number_signif_interactions_byBothReps	Number_signif_B2B_interactions_byBothReps	Distance_signif_mean	Distance_signif_median	Distance_signif_min	Distance_signif_max	Distance_signif_mean_B2B	Distance_signif_median_B2B	Distance_signif_min_B2B	Distance_signif_max_B2B	GCplusCpG_percent_promFrag	CpG_percent_promFrag	genename
4011695	1796	1979	2150	3775	694	954	836	3775	9.37837837837838	12.8918918918919	11.2972972972973	22.2702702702703	803	9	74	0	51	50	71	0	32387607.745098	26104577	110120	93690838	NA	NA	NA	NA	12.93	6.24	Klf4
5546150	2797	2560	2944	5357	1586	1544	1564	5357	15.25	14.8461538461538	15.0384615384615	30.0961538461538	843	13	104	0	55	54	102	0	23464490.5818182	13169562	36136	66353229	NA	NA	NA	NA	10.63	3.62	Klf2
3570493	1897	1934	2074	3831	1196	1229	1213	3831	13.7471264367816	14.1264367816092	13.9425287356322	27.8735632183908	553	13	87	0	61	60	86	0	19573803.2131148	4853258	29846	122959312	NA	NA	NA	NA	15.67	6.06	Sox2
1295638	4542	5583	5628	10125	2513	3210	2891	10125	16.8657718120805	21.5436241610738	19.4026845637584	38.4093959731544	1449	13	149	0	90	89	148	0	23368185.1555556	17837225	44371	82261948	NA	NA	NA	NA	11.29	4.09	Esrrb.2
4937588	1698	1682	1968	3380	786	767	781	3380	10.0769230769231	9.83333333333333	10.0128205128205	19.9102564102564	824	12	78	0	60	58	74	0	23470620.3833333	9290010.5	29816	115823876	NA	NA	NA	NA	7.47	1.44	Nanog
4936626	2356	2361	2648	4717	1376	1372	1377	4717	10.9206349206349	10.8888888888889	10.9285714285714	21.8095238095238	897	13	126	0	83	80	123	0	23723839.6746988	15581362	32166	118862518	NA	NA	NA	NA	22.97	11	Phc1
3455449	2036	2693	2651	4729	1217	1451	1352	4729	10.5826086956522	12.6173913043478	11.7565217391304	23.2	851	13	115	0	79	79	115	0	26245690.1772152	11171176	107036	162166703	NA	NA	NA	NA	14.89	6.51	Sall4
1038483	2105	1957	2247	4062	943	1019	976	4062	11.641975308642	12.5802469135802	12.0493827160494	24.2222222222222	734	12	81	0	30	30	79	0	12623965.0333333	11898832	104992	71302448	NA	NA	NA	NA	14.23	6.43	Stat3
1984935	2224	1724	2206	3948	940	731	830	3948	12.8767123287671	10.013698630137	11.3698630136986	22.8904109589041	810	10	73	0	45	45	73	0	23713415.4666667	11862779	122854	96331294	NA	NA	NA	NA	23.71	10.19	Lifr
292283	1395	1352	1600	2747	683	646	668	2747	10.3484848484848	9.78787878787879	10.1212121212121	20.1363636363636	702	11	66	0	50	50	66	0	19895152.94	11908418	166518	76395118	NA	NA	NA	NA	9.55	3.12	Tfcp2l1
5876325	1432	1453	1846	2885	491	497	494	2885	9.09259259259259	9.2037037037037	9.14814814814815	18.2962962962963	1059	12	54	0	29	29	53	0	20991172.1034483	21011468	129821	56505416	NA	NA	NA	NA	9.21	3.32	Dppa5a
2242870	1988	2746	2734	4734	972	1466	1235	4734	14.2941176470588	21.5588235294118	18.1617647058824	35.8529411764706	863	11	68	0	31	31	68	0	17491451.0967742	6395897	51332	86227245	NA	NA	NA	NA	7.95	1.09	Ciita_1
2242890	4093	4277	4531	8370	2343	2116	2210	8370	19.8559322033898	17.9322033898305	18.728813559322	37.7881355932203	1019	13	118	0	57	57	118	0	19141033.5087719	7885296	100040	87436010	NA	NA	NA	NA	6.55	1.17	Ciita_2
2242893	4165	5018	4981	9183	2611	2796	2710	9183	22.1271186440678	23.6949152542373	22.9661016949153	45.8220338983051	1005	13	118	0	62	62	116	0	13186543.0322581	3294153	22241	86972813	NA	NA	NA	NA	11.89	2.44	Ciita_3
