pathway	pval	padj	ES	NES	nMoreExtreme	size	leadingEdge
HALLMARK_XENOBIOTIC_METABOLISM	0.0015174506828528073	0.006613756613756614	0.6619782815325207	2.6465424812364886	0	187	
HALLMARK_INTERFERON_ALPHA_RESPONSE	0.0015772870662460567	0.006613756613756614	0.7021258098015271	2.573799554600091	0	101	
HALLMARK_INTERFERON_GAMMA_RESPONSE	0.0015174506828528073	0.006613756613756614	0.6254831576462033	2.5109136488182804	0	191	
HALLMARK_BILE_ACID_METABOLISM	0.0015600624024961	0.006613756613756614	0.5509938032269868	2.024566811701725	0	104	
HALLMARK_P53_PATHWAY	0.0015128593040847202	0.006613756613756614	0.4817675192688407	1.9337397934598504	0	190	
HALLMARK_FATTY_ACID_METABOLISM	0.0015625	0.006613756613756614	0.5015520160353906	1.9275365125406032	0	149	
HALLMARK_ADIPOGENESIS	0.0015267175572519084	0.006613756613756614	0.45893949651883126	1.832722570982073	0	186	
HALLMARK_ALLOGRAFT_REJECTION	0.0015360983102918587	0.006613756613756614	0.4684724522078735	1.8282387394410073	0	161	
HALLMARK_ESTROGEN_RESPONSE_LATE	0.0015174506828528073	0.006613756613756614	0.44286469427629743	1.7705418131371913	0	187	
HALLMARK_APICAL_JUNCTION	0.0015503875968992248	0.006613756613756614	0.4463563221022349	1.7617708971626278	0	174	
HALLMARK_INFLAMMATORY_RESPONSE	0.0015220700152207	0.006613756613756614	0.4464930795086228	1.752055051309544	0	164	
HALLMARK_PEROXISOME	0.0015873015873015873	0.006613756613756614	0.46582767017138416	1.69919760457069	0	97	
HALLMARK_MYOGENESIS	0.0031007751937984496	0.007751937984496124	0.4242043391074477	1.674336896517469	1	174	
HALLMARK_CHOLESTEROL_HOMEOSTASIS	0.006700167504187605	0.012407717600347416	0.4800853976347407	1.668534094307554	3	73	
HALLMARK_APOPTOSIS	0.0030721966205837174	0.007751937984496124	0.4165760201362768	1.6124774573264666	1	153	
HALLMARK_COAGULATION	0.004694835680751174	0.010206164523372117	0.4284661808517599	1.6108952487136983	2	123	
HALLMARK_HEME_METABOLISM	0.0031007751937984496	0.007751937984496124	0.4047441097189799	1.603615770861667	1	176	
HALLMARK_IL6_JAK_STAT3_SIGNALING	0.008291873963515755	0.014296334419854749	0.45470941429936174	1.591539366706177	4	76	
HALLMARK_TNFA_SIGNALING_VIA_NFKB	0.0030534351145038168	0.007751937984496124	0.3957044190179202	1.580200496301658	1	186	
HALLMARK_OXIDATIVE_PHOSPHORYLATION	0.006042296072507553	0.01167269756040621	0.38755990556785147	1.558302575294998	3	197	
HALLMARK_COMPLEMENT	0.004651162790697674	0.010206164523372117	0.39145374430023105	1.545070115833439	2	174	
HALLMARK_KRAS_SIGNALING_UP	0.006069802731411229	0.01167269756040621	0.38681376539405554	1.5260018501114387	3	170	
HALLMARK_UV_RESPONSE_UP	0.004594180704441042	0.010206164523372117	0.39117667327044203	1.5172732590920504	2	156	
HALLMARK_ESTROGEN_RESPONSE_EARLY	0.007633587786259542	0.013631406761177753	0.37519950000789065	1.498316439316167	4	186	
