Geneid	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	gene_name
ENSMUSG00000022043	535.5969519710771	-1.9001171602857316	0.11731851113104688	-16.196226341154865	5.361804128614962e-59	3.040857848141832e-55	Trim35
ENSMUSG00000034164	346.9360417690253	-1.6715152272960208	0.12902412964334306	-12.955059118914676	2.1996656728670508e-38	3.7425111758160006e-35	Emid1
ENSMUSG00000027219	69.67111371351692	-2.9661556871359473	0.23304196688405707	-12.727989412360511	4.133465224090764e-37	6.393343392970933e-34	Slc28a2
ENSMUSG00000028236	58.102974984186034	-3.1281702970997287	0.24947519339799337	-12.539003395456993	4.5670282045361915e-36	6.475284822664897e-33	Sdr16c5
ENSMUSG00000046668	673.3131156678654	-0.9965990103369972	0.08074697252225443	-12.34224614504683	5.363832177584323e-35	7.020018513032282e-32	Cxxc5
ENSMUSG00000060227	382.4731751404407	-1.0953990819882653	0.09623458171008217	-11.382593060863318	5.105861025275009e-30	5.1100658520017064e-27	Casc4
ENSMUSG00000029541	849.6336751397967	-1.0735561606912964	0.09581433557780682	-11.204546315718135	3.8733311756258075e-29	3.4684661380051314e-26	Cyp2w1
ENSMUSG00000085705	34.738897997318325	-4.888972813014968	0.43712645190009447	-11.184344465459953	4.8648716448854394e-29	4.1385463083040437e-26	Gm16046
ENSMUSG00000029781	469.7176767039868	-1.0699776395913774	0.09636833156237115	-11.103000562989621	1.2130180942454988e-28	9.381040843405872e-26	Fkbp9
ENSMUSG00000032076	437.3539837523711	-0.962936718323074	0.08849234201320053	-10.881582478396057	1.4109198147575403e-27	1.0002245720118662e-24	Cadm1
ENSMUSG00000031617	279.90421109712145	-1.068534925753817	0.10096630466604524	-10.583084418986003	3.5700829602859186e-26	2.4296556594521846e-23	Tmem184c
ENSMUSG00000035226	89.59502252471422	-2.6068139371989045	0.24837555814215562	-10.495452759916565	9.064211496543398e-26	5.93148055393036e-23	Rims4
ENSMUSG00000043439	577.8318042971599	-0.7736121801931967	0.0742762539953875	-10.415336511736813	2.110498718293201e-25	1.329926859001501e-22	E130012A19Rik
ENSMUSG00000036928	33.87895715731971	-3.2056704812192978	0.3138316946715935	-10.214616737719382	1.7055180250660568e-24	8.793237478325421e-22	Stag3
ENSMUSG00000019843	214.90777713624425	-1.2841296973420686	0.12648771507724965	-10.152208825638237	3.239470726401893e-24	1.6210692629118179e-21	Fyn
ENSMUSG00000002265	73.6235492834769	-2.459742457871473	0.2500960133858406	-9.835192590921698	7.941551299021031e-23	3.753265383376217e-20	Peg3
ENSMUSG00000030872	5294.463609527234	-0.6474224199589508	0.06593388934538115	-9.819266334609221	9.301803339048378e-23	4.2773211354207865e-20	Gga2
ENSMUSG00000037686	1684.2445882548443	-0.742264062317723	0.07769141379586127	-9.554003795941535	1.2477857624232537e-21	5.054720705206962e-19	Aspg
ENSMUSG00000017667	25.73537406954074	-4.405070114529164	0.4680095701408519	-9.412350506429636	4.851637586153417e-21	1.9196688811817265e-18	Zfp334
ENSMUSG00000042155	1602.2438910498788	-0.9316869886142449	0.09975070654383311	-9.340154279557277	9.619384786064738e-21	3.719641198866033e-18	Klhl23
ENSMUSG00000032181	116.28941675964363	-1.4199442989597773	0.1531119844958017	-9.27389389952497	1.7947145218608175e-20	6.7856161944311e-18	Scg3
ENSMUSG00000068758	122.34794664980146	-1.3088156177558465	0.14124689861957918	-9.266154730100551	1.929777534823539e-20	7.137659777714715e-18	Il3ra
ENSMUSG00000075028	180.36766525948858	-1.1115318340711224	0.12228215437614649	-9.089894103860738	9.913556539619046e-20	3.513942728439134e-17	Prdm11
ENSMUSG00000099759	27.182657880423786	-5.41952199900024	0.6106574657069006	-8.874896817525306	6.999827841074847e-19	2.2902898247701435e-16	1700030C10Rik
ENSMUSG00000046058	24.220585983488455	-2.5934977105545793	0.29260793207483365	-8.863388262117581	7.761868544891276e-19	2.445563544866299e-16	Eid2
ENSMUSG00000039145	8010.808108202214	-0.3410248119784834	0.04002273369616985	-8.520777580246081	1.5848563846777475e-17	4.213241645141749e-15	Camk1d
ENSMUSG00000001120	19.98511903727041	-2.79048404015988	0.33423782243874595	-8.34879793016626	6.896120301586217e-17	1.7512028479281777e-14	Pcbp3
ENSMUSG00000106641	74.28784202381523	-1.5219988038567023	0.18349236232996619	-8.294616650690665	1.0893593285991782e-16	2.7256411201156497e-14	RP23-404J7.9
ENSMUSG00000000394	2231.830063701359	-0.8773884880628161	0.10588292789433845	-8.286401835604416	1.167259493078021e-16	2.878225074670935e-14	Gcg
ENSMUSG00000035067	291.1792589600148	-0.7431483528475515	0.0905091911009635	-8.210750132752434	2.1981088331308446e-16	5.267411786885661e-14	Xkr6
ENSMUSG00000026204	76.91974037992583	-1.2127575433230373	0.14839503483367364	-8.172494077597262	3.020785330684705e-16	7.138283557815218e-14	Ptprn
ENSMUSG00000029814	869.6334766714268	-1.0113209919401147	0.12389525607149343	-8.16270956618819	3.275915311660673e-16	7.431523081679292e-14	Igf2bp3
ENSMUSG00000020808	70.17472481321911	-1.757156575020191	0.21624552974438102	-8.125747510699002	4.446137060427845e-16	9.953496835015706e-14	Fam64a
ENSMUSG00000050447	119.18755554922755	-1.1822734732203162	0.14806267904980222	-7.984952594452568	1.4057631837014784e-15	3.0275512414553104e-13	Lypd6
ENSMUSG00000057982	851.6168889131554	-0.3952621704837547	0.050110815075956695	-7.887761751323071	3.0765438753248184e-15	6.462261419108205e-13	Zfp809
ENSMUSG00000049119	142.50158618528582	-1.0734461267262407	0.1391833717936963	-7.712459562463752	1.2341578871318097e-14	2.470348504901248e-12	Fam110b
ENSMUSG00000055745	19.0595526069808	-2.902433247603517	0.3812785009094252	-7.612370591786936	2.6911359588359127e-14	5.1968749193533374e-12	Ldoc1l
ENSMUSG00000028184	1882.6640379473176	-0.36258312538001497	0.04781449687866281	-7.583121209036866	3.3733941946049565e-14	6.307135035935025e-12	Adgrl2
ENSMUSG00000034485	10064.390014892155	-0.3382405122280021	0.04466724646728029	-7.5724504861917215	3.6624882988552635e-14	6.773214773556897e-12	Uaca
ENSMUSG00000074682	16.290826605453507	-6.471119787416332	0.8872204958502857	-7.293699613211261	3.015573822712945e-13	5.182522527236166e-11	Zcchc3
ENSMUSG00000034612	221.307143772415	-1.2920842477946235	0.1796294474267395	-7.193053624025594	6.335804365756375e-13	1.0074521072801772e-10	Chst11
ENSMUSG00000051817	790.8322009278169	-0.7289894958325002	0.10142012971277863	-7.187818610536146	6.583464256051949e-13	1.0371394523376653e-10	Sox12
ENSMUSG00000028389	67.51257438734574	-1.393470360520034	0.19414528219431204	-7.177461871699601	7.101745445733937e-13	1.1085238258139192e-10	Zfp37
ENSMUSG00000040345	246.45705299810578	-0.8042615536838951	0.11227215448176237	-7.163499777805906	7.86429902244183e-13	1.216392577889321e-10	Arhgap9
