Geneid gene_name AS-520695-LR-53526Aligned.sortedByCoord.out.bam AS-520698-LR-53526Aligned.sortedByCoord.out.bam AS-520694-LR-53526Aligned.sortedByCoord.out.bam AS-520699-LR-53526Aligned.sortedByCoord.out.bam AS-520697-LR-53526Aligned.sortedByCoord.out.bam AS-520696-LR-53526Aligned.sortedByCoord.out.bam
ENSMUSG00000102693 4933401J01Rik 0 0 0 0 0 0
ENSMUSG00000064842 Gm26206 0 0 0 0 0 0
ENSMUSG00000051951 Xkr4 1 0 0 0 0 2
ENSMUSG00000102851 Gm18956 0 0 0 0 0 0
ENSMUSG00000103377 Gm37180 0 0 0 0 0 0
ENSMUSG00000104017 Gm37363 0 0 0 0 0 0
ENSMUSG00000103025 Gm37686 0 0 0 0 0 0
ENSMUSG00000089699 Gm1992 0 0 0 0 0 0
ENSMUSG00000103201 Gm37329 0 0 0 0 0 1
ENSMUSG00000103147 Gm7341 0 0 0 0 0 0
ENSMUSG00000103161 Gm38148 0 0 0 0 0 0
ENSMUSG00000102331 Gm19938 0 0 0 0 0 0
ENSMUSG00000102348 Gm10568 0 0 0 0 0 0
ENSMUSG00000102592 Gm38385 0 0 0 0 0 0
ENSMUSG00000088333 Gm27396 0 0 0 0 0 0
ENSMUSG00000102343 Gm37381 0 0 2 0 0 0
ENSMUSG00000102948 Gm6101 0 0 1 0 2 1
ENSMUSG00000025900 Rp1 0 0 0 0 0 0
ENSMUSG00000104123 Gm37483 0 0 0 0 0 0
ENSMUSG00000025902 Sox17 0 0 0 0 0 0
ENSMUSG00000104238 Gm37587 0 0 0 0 0 0
ENSMUSG00000102269 Gm7357 2 2 1 1 0 0
ENSMUSG00000096126 Gm22307 0 0 0 0 0 0
ENSMUSG00000103003 Gm38076 0 0 0 0 0 0
ENSMUSG00000104328 Gm37323 0 0 0 1 0 1
ENSMUSG00000102735 Gm7369 3 0 0 0 0 1
ENSMUSG00000098104 Gm6085 101 99 84 111 94 96
ENSMUSG00000102175 Gm6119 2 0 3 0 2 3
ENSMUSG00000088000 Gm25493 0 0 0 0 0 0
ENSMUSG00000103265 Gm2053 0 0 0 0 0 1
ENSMUSG00000103922 Gm6123 5 4 1 5 6 3
ENSMUSG00000033845 Mrpl15 4182 3749 3993 5145 4407 5895
ENSMUSG00000102275 Gm37144 10 6 10 4 8 10
ENSMUSG00000025903 Lypla1 2059 2034 2249 2665 1971 2203
ENSMUSG00000104217 Gm37988 0 0 0 0 0 0
ENSMUSG00000033813 Tcea1 876 686 714 955 764 1046
ENSMUSG00000062588 Gm6104 8 3 11 4 4 13
ENSMUSG00000103280 Gm37277 0 1 0 0 0 1
ENSMUSG00000002459 Rgs20 3 3 1 1 1 6
ENSMUSG00000091305 Gm17100 0 0 0 0 0 0
ENSMUSG00000102653 Gm37079 0 0 0 0 0 0
ENSMUSG00000085623 Gm16041 1 2 0 0 1 0
ENSMUSG00000091665 Gm17101 0 0 0 0 0 0
ENSMUSG00000033793 Atp6v1h 2366 2290 2236 2947 2227 2831
ENSMUSG00000104352 Gm7182 0 0 0 0 0 0
ENSMUSG00000104046 Gm37567 0 0 0 0 0 2
ENSMUSG00000102907 Gm38264 0 0 0 0 0 0
ENSMUSG00000025905 Oprk1 0 0 0 0 0 0
ENSMUSG00000103936 Gm36965 0 0 0 0 0 0
ENSMUSG00000093015 Gm22463 0 0 0 0 0 0
ENSMUSG00000103519 Gm37429 0 0 0 0 0 0
ENSMUSG00000033774 Npbwr1 0 0 0 0 0 0
ENSMUSG00000103090 Gm19214 0 0 0 0 0 0
ENSMUSG00000025907 Rb1cc1 1873 1719 1839 2165 1742 2411
ENSMUSG00000090031 4732440D04Rik 78 43 51 40 62 97
ENSMUSG00000087247 Fam150a 0 3 3 0 1 0
ENSMUSG00000103355 Gm2147 0 0 0 0 1 0
ENSMUSG00000102706 Gm7417 0 0 0 0 0 0
ENSMUSG00000103845 Gm19026 6 9 2 4 1 6
ENSMUSG00000033740 St18 338 354 301 318 260 320
ENSMUSG00000103329 Gm37405 0 0 0 0 0 0
ENSMUSG00000104385 Gm7449 0 2 1 2 1 1
ENSMUSG00000102135 Gm37108 20 21 11 23 9 22
ENSMUSG00000103282 Gm37275 0 0 0 0 0 0
ENSMUSG00000102534 Gm37225 0 0 0 0 0 0
ENSMUSG00000102213 Gm37489 0 0 0 0 0 0
ENSMUSG00000103629 Gm5694 0 0 0 0 0 0
ENSMUSG00000051285 Pcmtd1 798 777 828 1017 895 937
ENSMUSG00000098201 Gm26983 0 0 0 0 1 1
ENSMUSG00000103509 Gm38372 9 1 12 9 18 10
ENSMUSG00000048538 Gm9826 5 3 6 2 5 1
ENSMUSG00000103709 Nras-ps2 0 0 0 0 0 0
ENSMUSG00000077244 Gm23274 0 0 0 0 0 0
ENSMUSG00000102768 Gm19002 0 0 0 0 0 0
ENSMUSG00000097797 Gm26901 35 17 31 25 25 31
ENSMUSG00000103498 Gm18984 0 0 0 0 0 0
ENSMUSG00000103067 Gm30414 4 6 7 6 8 11
ENSMUSG00000102320 Gm37791 0 0 0 0 0 0
ENSMUSG00000104226 Gm7470 0 2 0 0 0 0
ENSMUSG00000103903 Rps2-ps2 0 1 0 4 2 0
ENSMUSG00000103557 Gm38216 0 0 0 0 0 0
ENSMUSG00000025909 Sntg1 0 0 3 0 0 1
ENSMUSG00000102647 Gm38024 0 0 0 0 0 0
ENSMUSG00000086235 Gm16284 0 0 1 0 2 1
ENSMUSG00000102253 Gm38259 0 0 0 0 0 0
ENSMUSG00000093970 Gm23358 0 0 0 0 0 0
ENSMUSG00000103884 Gm37005 0 0 0 0 0 0
ENSMUSG00000084353 Gm15452 0 0 2 0 0 0
ENSMUSG00000103933 Gm36964 13 3 6 6 3 14
ENSMUSG00000076135 Gm24276 0 0 0 0 1 1
ENSMUSG00000086195 Gm6152 0 0 0 0 0 0
