Geneid	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	gene_name
ENSMUSG00000063171	1916.0484440674213	-3.9006647219159687	0.11403326529604085	-34.20637576052465	1.9438221970758736e-256	3.441537199922834e-252	Rps4l
ENSMUSG00000045165	269.59035031462565	-2.5232646872062454	0.1840728056349747	-13.70797103082137	9.096616539393285e-43	3.221111916599162e-39	AI467606
ENSMUSG00000031389	315.6831469564659	-1.884802714296897	0.16383394234333504	-11.504348167042524	1.254334241592775e-30	2.4675541941555646e-27	Arhgap4
ENSMUSG00000029781	537.8577955379815	-1.5865691979436713	0.15799397247767002	-10.04196029166814	9.967335381617283e-24	1.47059727442945e-20	Fkbp9
ENSMUSG00000039114	326.35593343970805	-2.7170935563079497	0.2822530190980729	-9.626446388386926	6.183083365105504e-22	8.42088392147638e-19	Nrn1
ENSMUSG00000020183	1100.2693105389947	-1.3928252950215578	0.14658828144952735	-9.501614189406604	2.0666158275193733e-21	2.61353094473075e-18	Cpm
ENSMUSG00000013076	109.06994005498177	-2.893552100375671	0.3225281523059975	-8.97147141943263	2.9257937883850154e-19	3.0471281778445117e-16	Amotl1
ENSMUSG00000022043	345.8446302312393	-1.48605170176863	0.17262244092830378	-8.608682010155563	7.390534416743217e-18	6.886811149917824e-15	Trim35
ENSMUSG00000026204	349.97078335431047	-1.4726010297248018	0.17150605530487303	-8.586291761577007	8.982139218384369e-18	7.951438743074764e-15	Ptprn
ENSMUSG00000038740	232.80159918678976	-2.043909113284776	0.24063686697482708	-8.493748854777886	2.0007640479144256e-17	1.686834641348805e-14	Mvb12b
ENSMUSG00000074440	761.9519352898818	-1.503013268684611	0.1788923318793065	-8.401775821775583	4.397767887081226e-17	3.5392036563987774e-14	Defa3
ENSMUSG00000048330	144.42454936748314	-1.8958203238459008	0.2308887988602143	-8.210967068149879	2.1941406231372172e-16	1.618635822193518e-13	Ric3
ENSMUSG00000040345	133.6096661957397	-1.8480829254033135	0.2266319487525379	-8.154556034909522	3.5046489718198466e-16	2.3865311556180917e-13	Arhgap9
ENSMUSG00000055745	55.87458506693576	-3.149086098270137	0.38904606327283203	-8.094378521089753	5.755744990098418e-16	3.513981553437672e-13	Ldoc1l
ENSMUSG00000037148	217.97413733773985	-1.5192494354087376	0.19042376975067132	-7.9782552220132255	1.484162643414222e-15	8.759033200549599e-13	Arhgap10
ENSMUSG00000002265	495.7012203453878	-1.811155972791521	0.23201925135995624	-7.806059032496753	5.900395162594603e-15	3.2645780110542954e-12	Peg3
ENSMUSG00000051811	172.5693692381576	-1.55144132646824	0.20673361300192108	-7.504543184536823	6.164318724175957e-14	3.209978323868686e-11	Cox6b2
ENSMUSG00000042834	118.29212856206206	-2.107326010455471	0.28776699420773266	-7.323028884036085	2.4243559210478083e-13	1.0730805395537861e-10	Nrep
ENSMUSG00000029868	43.62434355076566	-8.917552288463211	1.2321379236164276	-7.237462720317423	4.571563483943578e-13	1.9741349142249036e-10	Trpv6
ENSMUSG00000024225	4832.554124996623	-1.032284081570222	0.1431572480253603	-7.210840497488138	5.560756092986093e-13	2.3441234911028277e-10	Clps
ENSMUSG00000024114	157.9587226900687	-1.4887659763000707	0.20928141715873846	-7.113703626972539	1.129696067131739e-12	4.5559033972689623e-10	Prss41
ENSMUSG00000031112	32.741508942603005	-4.265453831752279	0.5996368052798224	-7.113395632480884	1.1322211210383189e-12	4.5559033972689623e-10	Stk26
ENSMUSG00000039976	610.9119171266768	-0.8568034500486053	0.1207057610847589	-7.098281327657284	1.2631785355921673e-12	4.969905771702072e-10	Tbc1d16
ENSMUSG00000019893	674.1362222357022	-1.1903920342156975	0.1747307415093888	-6.812722386070423	9.576884498024674e-12	3.26074500072167e-9	Ros1
ENSMUSG00000061958	27157.86846957659	-1.2763881098252612	0.18806608535842706	-6.786912735449605	1.145584514296346e-11	3.735607356995445e-9	Gm14851
ENSMUSG00000037016	51.265305648870864	-2.8666507434728756	0.42285016011820736	-6.779353572129442	1.2071477367417278e-11	3.8165269069664805e-9	Frem2
ENSMUSG00000022376	247.85631401400775	-1.243057829074715	0.18399465991132213	-6.755945143591764	1.4190710632428877e-11	4.3318367542612635e-9	Adcy8
ENSMUSG00000068758	135.6495179146719	-1.4046329920619933	0.20811903403802362	-6.7491808164233795	1.4868220546324928e-11	4.461726182587845e-9	Il3ra
ENSMUSG00000032181	295.5948868772243	-1.2244750543381058	0.18181638390991384	-6.734679394706294	1.642917876956057e-11	4.847976835251164e-9	Scg3
ENSMUSG00000050930	112.95608417530656	-1.5072052600540173	0.22971997569076716	-6.561054412102632	5.34286189824042e-11	1.3911083810050977e-8	Map10
ENSMUSG00000047238	88.10028174592792	-1.8669992524175685	0.2855913290571085	-6.537310704010319	6.26348431093125e-11	1.584214138929111e-8	Mageh1
ENSMUSG00000060070	2156.1590022523874	-1.127777900882105	0.17335959056862374	-6.505425498427664	7.747377305179513e-11	1.9319340167352576e-8	Defa26
ENSMUSG00000060208	8584.059868966073	-1.1227108392206053	0.17490499508721932	-6.418975276610864	1.371946854400121e-10	3.327440966733445e-8	Defa17
ENSMUSG00000001249	78.87080617888097	-2.246062705305076	0.3530579981825953	-6.3617386289701114	1.994826884012565e-10	4.772758105600332e-8	Hpn
ENSMUSG00000060227	278.03581650835963	-1.4034098584116002	0.2213718645524842	-6.339603550110909	2.3035714720592365e-10	5.437964388374504e-8	Casc4
ENSMUSG00000021268	27.82447752651209	-5.8108177333943205	0.9210701432363082	-6.3087678783911105	2.812655797591241e-10	6.384368063634989e-8	Meg3
ENSMUSG00000001943	209.65239748446126	-1.5471723791555558	0.24700749176470843	-6.263665802611945	3.7603092635749864e-10	8.427376647037358e-8	Vsig2
ENSMUSG00000029869	27.928194434262856	-4.165943245184118	0.6743897438724992	-6.177352611061854	6.518538024128057e-10	1.4248236508294723e-7	Ephb6
ENSMUSG00000031844	941.3035468386302	-0.8266047935040333	0.13421107457306042	-6.158990948649731	7.320991045303562e-10	1.5807091031353605e-7	Hsd17b2
ENSMUSG00000074444	38965.81058383063	-1.102615787431007	0.17928681252766243	-6.150010543920416	7.747779611107426e-10	1.6527040724657467e-7	Gm15284
ENSMUSG00000057895	33.65153478005722	-3.2523959523832207	0.5310860632574501	-6.124046886929104	9.1228031762871e-10	1.900226238072507e-7	Zfp105
ENSMUSG00000062373	1198.6836935790132	-0.6313937136338316	0.10350407522491745	-6.100182164439363	1.0594765229132794e-9	2.1560956135838634e-7	Tmem65
ENSMUSG00000022683	196.62443738223124	-1.2582403747141497	0.20644724230957445	-6.094730840857524	1.0962173950741218e-9	2.2055146567940144e-7	Pla2g10
ENSMUSG00000074441	668.985161586638	-1.4076283184643186	0.23290762579604668	-6.043719322857016	1.5060141377779822e-9	2.962664478817686e-7	Gm15292
ENSMUSG00000002565	5535.62064074299	-0.9186744622958735	0.1535605694984597	-5.982489289381597	2.19752965554219e-9	4.052839849101508e-7	Scin
ENSMUSG00000035226	27.915607672680586	-3.769511167210045	0.6300502282782756	-5.982874059915676	2.192342805674072e-9	4.052839849101508e-7	Rims4
ENSMUSG00000026531	112.94624527473192	-2.3407466544612583	0.3925044121479975	-5.963618705969241	2.467120708689685e-9	4.50313114921143e-7	Mptx1
ENSMUSG00000029814	75.28324084599103	-2.3256935008537147	0.3923303977815263	-5.927895248506347	3.0684212314494656e-9	5.543509990082938e-7	Igf2bp3
ENSMUSG00000034353	617.0727336714233	-0.8335264224086716	0.1423398320359584	-5.855890164308351	4.744617255608937e-9	8.400344851055624e-7	Ramp1
