Geneid	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	gene_name
ENSMUSG00000063171	1916.0484440674213	-3.9006647219159687	0.11403326529604085	-34.20637576052465	1.9438221970758736e-256	3.441537199922834e-252	Rps4l
ENSMUSG00000026674	234.34569112699668	5.282348510127037	0.2994264435919689	17.641556459606957	1.181610005088295e-69	1.046020257004413e-65	Ddr2
ENSMUSG00000029468	259.0354643708663	3.8191555486237756	0.22172822124397162	17.22449008609278	1.7395397200573847e-66	1.0266183581205333e-62	P2rx7
ENSMUSG00000078853	1289.7563355065272	2.658411797021963	0.1864807711553424	14.25568856537734	4.132064303883856e-46	1.828954962506592e-42	Igtp
ENSMUSG00000045165	269.59035031462565	-2.5232646872062454	0.1840728056349747	-13.70797103082137	9.096616539393285e-43	3.221111916599162e-39	AI467606
ENSMUSG00000023249	1327.4405398011359	1.7315986595841237	0.13777922771201045	12.567922526054174	3.169431221990817e-36	9.352463297557904e-33	Parp3
ENSMUSG00000069874	918.6329527528208	2.377854799578662	0.1979329177991621	12.01343781528758	3.0202330577624817e-33	7.639032326812106e-30	Irgm2
ENSMUSG00000022587	20293.752143497797	1.7596927138207663	0.15221246485275072	11.56076616670705	6.512511054139852e-31	1.4413001026693261e-27	Ly6e
ENSMUSG00000031389	315.6831469564659	-1.884802714296897	0.16383394234333504	-11.504348167042524	1.254334241592775e-30	2.4675541941555646e-27	Arhgap4
ENSMUSG00000037321	5321.53402016346	1.5553344538216378	0.15028372646375396	10.349320518058619	4.214663179121856e-25	7.462061158635247e-22	Tap1
ENSMUSG00000085399	111.78000442376654	2.7612651120524703	0.272847063897468	10.120193608131016	4.495255300260363e-24	7.23531773555543e-21	Foxd2os
ENSMUSG00000029781	537.8577955379815	-1.5865691979436713	0.15799397247767002	-10.04196029166814	9.967335381617283e-24	1.47059727442945e-20	Fkbp9
ENSMUSG00000039114	326.35593343970805	-2.7170935563079497	0.2822530190980729	-9.626446388386926	6.183083365105504e-22	8.42088392147638e-19	Nrn1
ENSMUSG00000020183	1100.2693105389947	-1.3928252950215578	0.14658828144952735	-9.501614189406604	2.0666158275193733e-21	2.61353094473075e-18	Cpm
ENSMUSG00000022504	1583.014343620782	3.8386690056728807	0.4089361701704794	9.386963750534948	6.175476067053797e-21	7.28912025114583e-18	Ciita
ENSMUSG00000044827	647.8741295438481	1.5530820890240167	0.17052364967534436	9.10772254746418	8.41293882130942e-20	9.309442614455205e-17	Tlr1
ENSMUSG00000013076	109.06994005498177	-2.893552100375671	0.3225281523059975	-8.97147141943263	2.9257937883850154e-19	3.0471281778445117e-16	Amotl1
ENSMUSG00000033066	267.3413594481346	2.154345404589097	0.2497079300931636	8.627460905167617	6.272896764310027e-18	6.170090956228279e-15	Gas7
ENSMUSG00000022043	345.8446302312393	-1.48605170176863	0.17262244092830378	-8.608682010155563	7.390534416743217e-18	6.886811149917824e-15	Trim35
ENSMUSG00000026204	349.97078335431047	-1.4726010297248018	0.17150605530487303	-8.586291761577007	8.982139218384369e-18	7.951438743074764e-15	Ptprn
ENSMUSG00000038740	232.80159918678976	-2.043909113284776	0.24063686697482708	-8.493748854777886	2.0007640479144256e-17	1.686834641348805e-14	Mvb12b
ENSMUSG00000074440	761.9519352898818	-1.503013268684611	0.1788923318793065	-8.401775821775583	4.397767887081226e-17	3.5392036563987774e-14	Defa3
ENSMUSG00000060586	7320.519091710381	5.123616910924653	0.616097750608184	8.31624024899758	9.079767414938456e-17	6.989447047021103e-14	H2-Eb1
ENSMUSG00000048330	144.42454936748314	-1.8958203238459008	0.2308887988602143	-8.210967068149879	2.1941406231372172e-16	1.618635822193518e-13	Ric3
ENSMUSG00000040345	133.6096661957397	-1.8480829254033135	0.2266319487525379	-8.154556034909522	3.5046489718198466e-16	2.3865311556180917e-13	Arhgap9
ENSMUSG00000078921	52.266814249122525	4.053273222945566	0.4967767106017833	8.159145017155753	3.3740435602715007e-16	2.3865311556180917e-13	Tgtp2
ENSMUSG00000041134	335.5968705297993	1.920391871388154	0.23657441471300458	8.117496026431422	4.759003828340317e-16	3.1206726955839006e-13	Cyyr1
ENSMUSG00000082292	300.7379675503198	2.061700693109587	0.25450090044107543	8.100956379865275	5.45288011329066e-16	3.4479729430646835e-13	Gm12250
ENSMUSG00000055745	55.87458506693576	-3.149086098270137	0.38904606327283203	-8.094378521089753	5.755744990098418e-16	3.513981553437672e-13	Ldoc1l
ENSMUSG00000037148	217.97413733773985	-1.5192494354087376	0.19042376975067132	-7.9782552220132255	1.484162643414222e-15	8.759033200549599e-13	Arhgap10
