pathway	pval	padj	ES	NES	nMoreExtreme	size	leadingEdge
HALLMARK_INTERFERON_GAMMA_RESPONSE	0.002583979328165375	0.009549274255156608	0.7041963797653739	3.1248200259648766	0	193	
HALLMARK_INTERFERON_ALPHA_RESPONSE	0.0024096385542168677	0.009549274255156608	0.7504176783335605	3.0530803351830063	0	101	
HALLMARK_ALLOGRAFT_REJECTION	0.002631578947368421	0.009549274255156608	0.6131347652865238	2.692340090637179	0	177	
HALLMARK_E2F_TARGETS	0.0026109660574412533	0.009549274255156608	0.5751892944674253	2.547430103513784	0	194	
HALLMARK_TNFA_SIGNALING_VIA_NFKB	0.0025380710659898475	0.009549274255156608	0.5259654289765633	2.326408265561868	0	183	
HALLMARK_MYC_TARGETS_V2	0.0022988505747126436	0.009549274255156608	0.6156783164785435	2.2444236618306466	0	58	
HALLMARK_MYC_TARGETS_V1	0.00267379679144385	0.009549274255156608	0.4793652111381469	2.127215558637554	0	199	
HALLMARK_G2M_CHECKPOINT	0.002583979328165375	0.009549274255156608	0.4811027359275608	2.1238091023224137	0	186	
HALLMARK_INFLAMMATORY_RESPONSE	0.0025575447570332483	0.009549274255156608	0.4794150824519278	2.081057247373426	0	165	
HALLMARK_IL6_JAK_STAT3_SIGNALING	0.0024509803921568627	0.009549274255156608	0.4909435235136329	1.8912679080056845	0	75	
HALLMARK_MTORC1_SIGNALING	0.002638522427440633	0.009549274255156608	0.4017180670468925	1.7756659266200667	0	195	
HALLMARK_UV_RESPONSE_UP	0.002652519893899204	0.009549274255156608	0.4082095904566582	1.760995082473267	0	157	
HALLMARK_MITOTIC_SPINDLE	0.002652519893899204	0.009549274255156608	0.35645473176597636	1.578442089453358	0	196	
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	0.004807692307692308	0.014140271493212671	0.371713510334286	1.5334427857490895	1	107	
HALLMARK_APOPTOSIS	0.005333333333333333	0.014814814814814814	0.3507245878476609	1.5000933630125068	1	153	
HALLMARK_CHOLESTEROL_HOMEOSTASIS	0.04116222760290557	0.07915813000558763	0.37306117577059933	1.432274174851119	16	73	
HALLMARK_PI3K_AKT_MTOR_SIGNALING	0.02650602409638554	0.05301204819277108	0.34334023294795296	1.3906083418375985	10	99	
HALLMARK_P53_PATHWAY	0.015665796344647518	0.034056079010103296	0.3083222135047228	1.3658575886814908	5	189	
HALLMARK_IL2_STAT5_SIGNALING	0.021052631578947368	0.04385964912280702	0.3101830148387838	1.3625528646550844	7	180	
HALLMARK_DNA_REPAIR	0.18796992481203006	0.2349624060150376	0.2672799075904112	1.1501056225954709	74	146	
HALLMARK_ESTROGEN_RESPONSE_EARLY	0.16666666666666666	0.22216051096917525	0.25780878964328746	1.143259944327842	63	191	
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	0.4107142857142857	0.4369300911854103	0.29699184485514585	1.036617221857644	183	46	
HALLMARK_PROTEIN_SECRETION	0.9747474747474747	0.9747474747474747	-0.17590020954007868	-0.6732867668708059	578	94	
HALLMARK_APICAL_SURFACE	0.7035087719298245	0.7178660938059435	-0.2591592555771338	-0.8490231461303259	400	41	
HALLMARK_TGF_BETA_SIGNALING	0.6243194192377496	0.6503327283726559	-0.26496726767451784	-0.9030694792968457	343	53	
HALLMARK_OXIDATIVE_PHOSPHORYLATION	0.3546325878594249	0.3854702041950271	-0.24709944630445307	-1.0465002942893802	221	197	
HALLMARK_SPERMATOGENESIS	0.30887372013651876	0.34319302237390975	-0.2807498340161256	-1.0914998190272107	180	105	
HALLMARK_ADIPOGENESIS	0.23500810372771475	0.2670546633269486	-0.2647219014764749	-1.112938710547219	144	188	
HALLMARK_APICAL_JUNCTION	0.19516129032258064	0.23800157356412274	-0.27164357760022606	-1.1414915622111854	120	179	
HALLMARK_MYOGENESIS	0.17014446227929375	0.22216051096917525	-0.2760632130220159	-1.1577142076704265	105	173	
HALLMARK_NOTCH_SIGNALING	0.22527472527472528	0.2619473549706108	-0.38863554336842826	-1.1866934503830195	122	31	
HALLMARK_COMPLEMENT	0.13474025974025974	0.1926163723916533	-0.2830443393843494	-1.1888903966719693	82	181	
