marker_gene_symbol	feature	marker_gene_ensembl_id	comment
Lgr5	Stem cells	ENSMUSG00000020140	""
Olfm4	Stem cells	ENSMUSG00000022026	""
Ascl2	Stem cells	ENSMUSG00000009248	""
Axin2	Stem cells	ENSMUSG00000000142	""
Slc12a2	Stem cells	ENSMUSG00000024597	""
Gkn3	Stem cells	ENSMUSG00000030048	""
CD44	Stem cells	ENSMUSG00000005087	gradient
Clca3b	Stem cells	ENSMUSG00000037033	""
Lyz1	Paneth cells	ENSMUSG00000069515	""
Defa17	Paneth cells	ENSMUSG00000060208	""
Defa22	Paneth cells	ENSMUSG00000074443	""
Defa24	Paneth cells	ENSMUSG00000064213	""
Ang4	Paneth cells	ENSMUSG00000060615	""
Itln1	Paneth cells	ENSMUSG00000038209	""
Lyz2	Paneth cells	ENSMUSG00000069516	""
Ift	Goblet cells	ENSMUSG00000024029	""
Muc2	Goblet cells	ENSMUSG00000025515	""
Clca1	Goblet cells	ENSMUSG00000028255	""
Tff3	Goblet cells	ENSMUSG00000024029	""
Agr2	Goblet cells	ENSMUSG00000020581	""
Dclk1	Tuft cells	ENSMUSG00000027797	""
Trpm5	Tuft cells	ENSMUSG00000009246	""
Gfi1b	Tuft cells	ENSMUSG00000026815	""
Il25	Tuft cells	ENSMUSG00000040770	""
CD24a	Tuft cells	ENSMUSG00000047139	""
Krt8	Tuft cells	ENSMUSG00000049382	""
Krt18	Tuft cells	ENSMUSG00000023043	""
Chga	Enteroendocrine cells	ENSMUSG00000021194	""
Chgb	Enteroendocrine cells	ENSMUSG00000027350	""
Tac1	Enteroendocrine cells	ENSMUSG00000061762	""
Tph1	Enteroendocrine cells	ENSMUSG00000040046	""
Neurog3	Enteroendocrine cells	ENSMUSG00000044312	""
Alpi	Enterocytes	ENSMUSG00000079440	""
Apoa1	Enterocytes	ENSMUSG00000032083	""
Apoa4	Enterocytes	ENSMUSG00000032080	""
Fabp1	Enterocytes	ENSMUSG00000054422	""
ALCAM	Stem cells (Wikipedia)	""	Active
ASCL2	Stem cells (Wikipedia)	""	Active
BMI1	Stem cells (Wikipedia)	""	Quiescent
DCLK1	Stem cells (Wikipedia)	""	Quiescent?
EPHB2	Stem cells (Wikipedia)	""	Active
HOPX	Stem cells (Wikipedia)	""	Quiescent
Igfbp4	Stem cells (Wikipedia)	""	Active
Itgb1	Stem cells (Wikipedia)	""	Active
LGR5	Stem cells (Wikipedia)	""	Active
Lrig1	Stem cells (Wikipedia)	""	Active, Quiescent
mTert	Stem cells (Wikipedia)	""	Quiescent
Musashi-1	Stem cells (Wikipedia)	""	Active
OLFM4	Stem cells (Wikipedia)	""	Active
PHLDA1	Stem cells (Wikipedia)	""	Active, Quiescent
Prom1	Stem cells (Wikipedia)	""	Active
PW1	Stem cells (Wikipedia)	""	Active
Smoc2	Stem cells (Wikipedia)	""	Active
Sox9	Stem cells (Wikipedia)	""	Active
TNFRSF19	Stem cells (Wikipedia)	""	Active
BMI1	Quiescent Stem cells (Wikipedia)	""	Quiescent
DCLK1	Quiescent Stem cells (Wikipedia)	""	Quiescent?
HOPX	Quiescent Stem cells (Wikipedia)	""	Quiescent
mTert	Quiescent Stem cells (Wikipedia)	""	Quiescent
Id2	Wnt target	""	""
CD44	Wnt target	""	""
Frizzled 7	Wnt target	""	""
Axin2	Wnt target	""	""
Lgr5	Wnt target	""	""
Olfm4	Wnt target	""	""
Ascl2	Wnt target	""	""
Dkk1	Wnt target	""	""
Lef1	Wnt target	""	""
Chac1	Wnt target	""	""
Fcgbp	Goblet cells (Haber et al Patent)	""	""
Clca1	Goblet cells (Haber et al Patent)	""	""
Zg16	Goblet cells (Haber et al Patent)	""	""
Tpsg1	Goblet cells (Haber et al Patent)	""	""
Galnt12	Goblet cells (Haber et al Patent)	""	""
Atoh1	Goblet cells (Haber et al Patent)	""	""
Rep15	Goblet cells (Haber et al Patent)	""	""
S100a6	Goblet cells (Haber et al Patent)	""	""
Pdia5	Goblet cells (Haber et al Patent)	""	""
Klk1	Goblet cells (Haber et al Patent)	""	""
Pla2g10	Goblet cells (Haber et al Patent)	""	""
Spdef	Goblet cells (Haber et al Patent)	""	""
Lrrc26	Goblet cells (Haber et al Patent)	""	""
Ccl9	Goblet cells (Haber et al Patent)	""	""
Bace2	Goblet cells (Haber et al Patent)	""	""
Bcas1	Goblet cells (Haber et al Patent)	""	""
Slc12a8	Goblet cells (Haber et al Patent)	""	""
Smim14	Goblet cells (Haber et al Patent)	""	""
Tspan13	Goblet cells (Haber et al Patent)	""	""
Txndc5	Goblet cells (Haber et al Patent)	""	""
Creb3l4	Goblet cells (Haber et al Patent)	""	""
C1galt1c1	Goblet cells (Haber et al Patent)	""	""
Creb3l1	Goblet cells (Haber et al Patent)	""	""
Qsox1	Goblet cells (Haber et al Patent)	""	""
Guca2a	Goblet cells (Haber et al Patent)	""	""
Scin	Goblet cells (Haber et al Patent)	""	""
Ern2	Goblet cells (Haber et al Patent)	""	""
AW112010	Goblet cells (Haber et al Patent)	""	""
Fkbp11	Goblet cells (Haber et al Patent)	""	""
Capn9	Goblet cells (Haber et al Patent)	""	""
Stard3nl	Goblet cells (Haber et al Patent)	""	""
Slc50a1	Goblet cells (Haber et al Patent)	""	""
Sdf2l1	Goblet cells (Haber et al Patent)	""	""
Hgfac	Goblet cells (Haber et al Patent)	""	""
Galnt7	Goblet cells (Haber et al Patent)	""	""
Hpd	Goblet cells (Haber et al Patent)	""	""
Ttc39a	Goblet cells (Haber et al Patent)	""	""
Tmed3	Goblet cells (Haber et al Patent)	""	""
Pdia6	Goblet cells (Haber et al Patent)	""	""
Uap1	Goblet cells (Haber et al Patent)	""	""
Gcnt3	Goblet cells (Haber et al Patent)	""	""
Tnfaip8	Goblet cells (Haber et al Patent)	""	""
Dnajc10	Goblet cells (Haber et al Patent)	""	""
Ergic1	Goblet cells (Haber et al Patent)	""	""
Tsta3	Goblet cells (Haber et al Patent)	""	""
Kdelr3	Goblet cells (Haber et al Patent)	""	""
Foxa3	Goblet cells (Haber et al Patent)	""	""
Tpd52	Goblet cells (Haber et al Patent)	""	""
Tmed9	Goblet cells (Haber et al Patent)	""	""
Spink4	Goblet cells (Haber et al Patent)	""	""
Nans	Goblet cells (Haber et al Patent)	""	""
Cmtm7	Goblet cells (Haber et al Patent)	""	""
Creld2	Goblet cells (Haber et al Patent)	""	""
Tm9sf3	Goblet cells (Haber et al Patent)	""	""
Wars	Goblet cells (Haber et al Patent)	""	""
Smim6	Goblet cells (Haber et al Patent)	""	""
Manf	Goblet cells (Haber et al Patent)	""	""
Oit1	Goblet cells (Haber et al Patent)	""	""
Tram1	Goblet cells (Haber et al Patent)	""	""
Kdelr2	Goblet cells (Haber et al Patent)	""	""
Xbp1	Goblet cells (Haber et al Patent)	""	""
Serp1	Goblet cells (Haber et al Patent)	""	""
Vimp	Goblet cells (Haber et al Patent)	""	""
Guk1	Goblet cells (Haber et al Patent)	""	""
Sh3bgrl3	Goblet cells (Haber et al Patent)	""	""
Cmpk1	Goblet cells (Haber et al Patent)	""	""
Tmsb10	Goblet cells (Haber et al Patent)	""	""
Dap	Goblet cells (Haber et al Patent)	""	""
Ostc	Goblet cells (Haber et al Patent)	""	""
Ssr4	Goblet cells (Haber et al Patent)	""	""
Sec61b	Goblet cells (Haber et al Patent)	""	""
Pdia3	Goblet cells (Haber et al Patent)	""	""
Gale	Goblet cells (Haber et al Patent)	""	""
Klf4	Goblet cells (Haber et al Patent)	""	""
Krtcap2	Goblet cells (Haber et al Patent)	""	""
Arf4	Goblet cells (Haber et al Patent)	""	""
Gm15284	Paneth cells (Haber et al Patent)	""	""
AY761184	Paneth cells (Haber et al Patent)	""	""
Gm14851	Paneth cells (Haber et al Patent)	""	""
Defa-rs1	Paneth cells (Haber et al Patent)	""	""
Defa3	Paneth cells (Haber et al Patent)	""	""
Defa26	Paneth cells (Haber et al Patent)	""	""
Gm15292	Paneth cells (Haber et al Patent)	""	""
Mptx2	Paneth cells (Haber et al Patent)	""	""
Alox5ap	Tuft cells (Haber et al Patent)	""	""
Lrmp	Tuft cells (Haber et al Patent)	""	""
Hck	Tuft cells (Haber et al Patent)	""	""
Avil	Tuft cells (Haber et al Patent)	""	""
Rgs13	Tuft cells (Haber et al Patent)	""	""
Ltc4s	Tuft cells (Haber et al Patent)	""	""
Spib	Tuft cells (Haber et al Patent)	""	""
Fyb	Tuft cells (Haber et al Patent)	""	""
Ptpn6	Tuft cells (Haber et al Patent)	""	""
Matk	Tuft cells (Haber et al Patent)	""	""
Snrnp25	Tuft cells (Haber et al Patent)	""	""
Sh2d7	Tuft cells (Haber et al Patent)	""	""
Ly6g6f	Tuft cells (Haber et al Patent)	""	""
Kctd12	Tuft cells (Haber et al Patent)	""	""
1810046K07Rik	Tuft cells (Haber et al Patent)	""	""
Hpgds	Tuft cells (Haber et al Patent)	""	""
Tuba1a	Tuft cells (Haber et al Patent)	""	""
Pik3r5	Tuft cells (Haber et al Patent)	""	""
Vav1	Tuft cells (Haber et al Patent)	""	""
Tspan6	Tuft cells (Haber et al Patent)	""	""
Skap2	Tuft cells (Haber et al Patent)	""	""
Pygl	Tuft cells (Haber et al Patent)	""	""
Ccdc109b	Tuft cells (Haber et al Patent)	""	""
Ccdc28b	Tuft cells (Haber et al Patent)	""	""
Plcg2	Tuft cells (Haber et al Patent)	""	""
Ly6g6d	Tuft cells (Haber et al Patent)	""	""
Alox5	Tuft cells (Haber et al Patent)	""	""
Pou2f3	Tuft cells (Haber et al Patent)	""	""
Gng13	Tuft cells (Haber et al Patent)	""	""
Bmx	Tuft cells (Haber et al Patent)	""	""
Ptpn18	Tuft cells (Haber et al Patent)	""	""
Nebl	Tuft cells (Haber et al Patent)	""	""
Limd2	Tuft cells (Haber et al Patent)	""	""
Pea15a	Tuft cells (Haber et al Patent)	""	""
Tmem176a	Tuft cells (Haber et al Patent)	""	""
Smpx	Tuft cells (Haber et al Patent)	""	""
Itpr2	Tuft cells (Haber et al Patent)	""	""
Il13ra1	Tuft cells (Haber et al Patent)	""	""
Siglecf	Tuft cells (Haber et al Patent)	""	""
Ffar3	Tuft cells (Haber et al Patent)	""	""
Rac2	Tuft cells (Haber et al Patent)	""	""
Hmx2	Tuft cells (Haber et al Patent)	""	""
Bpgm	Tuft cells (Haber et al Patent)	""	""
Inpp5j	Tuft cells (Haber et al Patent)	""	""
Ptgs1	Tuft cells (Haber et al Patent)	""	""
Aldh2	Tuft cells (Haber et al Patent)	""	""
Pik3cg	Tuft cells (Haber et al Patent)	""	""
Ethe1	Tuft cells (Haber et al Patent)	""	""
Inpp5d	Tuft cells (Haber et al Patent)	""	""
Krt23	Tuft cells (Haber et al Patent)	""	""
Gprc5c	Tuft cells (Haber et al Patent)	""	""
Reep5	Tuft cells (Haber et al Patent)	""	""
Csk	Tuft cells (Haber et al Patent)	""	""
Bcl2l14	Tuft cells (Haber et al Patent)	""	""
Tmem141	Tuft cells (Haber et al Patent)	""	""
Coprs	Tuft cells (Haber et al Patent)	""	""
Tmem176b	Tuft cells (Haber et al Patent)	""	""
1110007C09Rik	Tuft cells (Haber et al Patent)	""	""
Ildr1	Tuft cells (Haber et al Patent)	""	""
Galk1	Tuft cells (Haber et al Patent)	""	""
Zfp428	Tuft cells (Haber et al Patent)	""	""
Rgs2	Tuft cells (Haber et al Patent)	""	""
Inpp5b	Tuft cells (Haber et al Patent)	""	""
Gnai2	Tuft cells (Haber et al Patent)	""	""
Pla2g4a	Tuft cells (Haber et al Patent)	""	""
Acot7	Tuft cells (Haber et al Patent)	""	""
Rbm38	Tuft cells (Haber et al Patent)	""	""
Gga2	Tuft cells (Haber et al Patent)	""	""
Myo1b	Tuft cells (Haber et al Patent)	""	""
Adh1	Tuft cells (Haber et al Patent)	""	""
Bub3	Tuft cells (Haber et al Patent)	""	""
Sec14l1	Tuft cells (Haber et al Patent)	""	""
Asah1	Tuft cells (Haber et al Patent)	""	""
Ppp3ca	Tuft cells (Haber et al Patent)	""	""
Agt	Tuft cells (Haber et al Patent)	""	""
Gimap1	Tuft cells (Haber et al Patent)	""	""
Krt18	Tuft cells (Haber et al Patent)	""	""
Pim3	Tuft cells (Haber et al Patent)	""	""
2210016L21Rik	Tuft cells (Haber et al Patent)	""	""
Tmem9	Tuft cells (Haber et al Patent)	""	""
Lima1	Tuft cells (Haber et al Patent)	""	""
Fam221a	Tuft cells (Haber et al Patent)	""	""
Nt5c3	Tuft cells (Haber et al Patent)	""	""
Atp2a3	Tuft cells (Haber et al Patent)	""	""
Mlip	Tuft cells (Haber et al Patent)	""	""
Vdac3	Tuft cells (Haber et al Patent)	""	""
Ccdc23	Tuft cells (Haber et al Patent)	""	""
Tmem45b	Tuft cells (Haber et al Patent)	""	""
Cd47	Tuft cells (Haber et al Patent)	""	""
Lect2	Tuft cells (Haber et al Patent)	""	""
Pla2g16	Tuft cells (Haber et al Patent)	""	""
Mocs2	Tuft cells (Haber et al Patent)	""	""
Arpc5	Tuft cells (Haber et al Patent)	""	""
Ndufaf3	Tuft cells (Haber et al Patent)	""	""
Gfra3	Enteroendocrine cells (Haber et al Patent)	""	""
