baitID	Cov1	Cov2	Cov3	Cov4	Cov_weighted	Cov_pooled	Cov1_allSigInteractions	Cov2_allSigInteractions	Cov3_allSigInteractions	Cov4_allSigInteractions	Cov_weighted_allSigInteractions	Cov_pooled_allSigInteractions	Cov1_perSigInteraction	Cov2_perSigInteraction	Cov3_perSigInteraction	Cov4_perSigInteraction	Cov_weighted_perSigInteraction	Cov_pooled_perSigInteraction	Number_interactions	Number_B2B_interactions	Number_signif_interactions	Number_signif_B2B_interactions	Number_signif_interactions_onSameChr	Number_signif_interactions_onSameChr_byBothReps	Number_signif_interactions_byBothReps	Number_signif_B2B_interactions_byBothReps	Distance_signif_mean	Distance_signif_median	Distance_signif_min	Distance_signif_max	Distance_signif_mean_B2B	Distance_signif_median_B2B	Distance_signif_min_B2B	Distance_signif_max_B2B	GCplusCpG_percent_promFrag	CpG_percent_promFrag	genename
4011695	1168	1724	1146	1444	1891	5482	486	675	371	523	532	5482	7.47692307692308	10.3846153846154	5.70769230769231	8.04615384615385	8.18461538461538	31.6153846153846	949	13	65	0	44	43	64	0	23151974.3863636	9807788.5	109788	93690838	NA	NA	NA	NA	12.93	6.24	Klf4
5546150	1661	2130	1410	1756	2346	6957	683	1039	631	705	794	6957	8.32926829268293	12.6707317073171	7.69512195121951	8.59756097560976	9.68292682926829	37.2926829268293	1062	13	82	0	46	43	78	0	22650348.826087	12958083.5	43085	64271252	NA	NA	NA	NA	10.63	3.62	Klf2
3570493	1612	1343	1401	1313	1810	5669	875	787	848	705	797	5669	10.2941176470588	9.25882352941177	9.97647058823529	8.29411764705882	9.37647058823529	37.8235294117647	761	13	85	0	56	56	84	0	19243308.875	4482350.5	119833	122959312	NA	NA	NA	NA	15.67	6.06	Sox2
1295638	2654	3332	3642	3707	4041	13335	1463	1870	1795	2090	1827	13335	11	14.0601503759399	13.4962406015038	15.7142857142857	13.7368421052632	54.2706766917293	1282	13	133	0	79	78	130	0	22126176	17000896	195469	82261948	NA	NA	NA	NA	11.29	4.09	Esrrb.2
4937588	1024	1562	1105	1129	1867	4820	412	578	319	360	434	4820	7.77358490566038	10.9056603773585	6.0188679245283	6.79245283018868	8.18867924528302	31.4905660377358	1089	13	53	0	44	42	51	0	26415287.0454545	12792669.5	95759	115823876	NA	NA	NA	NA	7.47	1.44	Nanog
4936626	1663	2414	1774	1575	2533	7426	878	1593	931	836	1111	7426	7.3781512605042	13.3865546218487	7.82352941176471	7.02521008403361	9.33613445378151	35.6134453781513	1140	13	119	0	81	75	112	0	25125145.617284	15473342	81181	118862518	NA	NA	NA	NA	22.97	11	Phc1
3455449	2106	2220	1762	2274	2775	8362	948	1191	871	1257	1084	8362	8.61818181818182	10.8272727272727	7.91818181818182	11.4272727272727	9.85454545454546	38.7909090909091	1230	13	110	0	69	68	109	0	25190339.8985507	11021294	113128	137509536	NA	NA	NA	NA	14.89	6.51	Sall4
1038483	1098	1938	1398	1311	1851	5745	425	805	537	479	586	5745	6.9672131147541	13.1967213114754	8.80327868852459	7.85245901639344	9.60655737704918	36.8196721311475	775	13	61	0	25	24	58	0	11357238.84	8800511	91579	40487543	NA	NA	NA	NA	14.23	6.43	Stat3
1984935	1216	1476	1413	1926	2069	6031	362	427	356	627	447	6031	6.58181818181818	7.76363636363636	6.47272727272727	11.4	8.12727272727273	32.2181818181818	1082	12	55	0	34	34	55	0	31591956.1470588	18350057.5	153723	96331294	NA	NA	NA	NA	23.71	10.19	Lifr
292283	753	1678	882	918	1640	4231	335	640	269	421	440	4231	5.67796610169492	10.8474576271186	4.55932203389831	7.13559322033898	7.45762711864407	28.2203389830508	991	13	59	0	45	45	59	0	20932867	14862400	65841	75489186	NA	NA	NA	NA	9.55	3.12	Tfcp2l1
5876325	727	1074	1068	1093	1509	3962	248	430	371	336	359	3962	5.06122448979592	8.77551020408163	7.57142857142857	6.85714285714286	7.3265306122449	28.265306122449	922	12	49	0	31	31	49	0	16494000.516129	10674786	123012	56505416	NA	NA	NA	NA	9.21	3.32	Dppa5a
2242870	1843	1955	1912	2101	2518	7811	1167	1275	1090	1164	1187	7811	15.1558441558442	16.5584415584416	14.1558441558442	15.1168831168831	15.4155844155844	60.987012987013	919	13	77	0	40	40	76	0	19439473.5	6465868	49795	87234645	NA	NA	NA	NA	7.95	1.09	Ciita_1
2242890	3204	3836	3089	3004	4430	13133	1558	1643	1644	1515	1600	13133	14.1636363636364	14.9363636363636	14.9454545454545	13.7727272727273	14.5454545454545	57.8181818181818	1814	13	110	0	43	42	108	0	18131460.8837209	6923332	173703	87436010	NA	NA	NA	NA	6.55	1.17	Ciita_2
2242893	2308	4250	2961	3534	4279	13053	1268	2261	1678	1736	1792	13053	11.6330275229358	20.743119266055	15.394495412844	15.9266055045872	16.4403669724771	63.697247706422	1491	13	109	0	53	51	107	0	19043968.3018868	6715019	100443	85310476	NA	NA	NA	NA	11.89	2.44	Ciita_3
