gs_cat,gs_subcat,gs_name,gene_symbol,entrez_gene,ensembl_gene,human_gene_symbol,human_entrez_gene,human_ensembl_gene,gs_id,gs_pmid,gs_geoid,gs_exact_source,gs_url,gs_description,taxon_id,ortholog_sources,num_ortholog_sources
H,"",HALLMARK_ALLOGRAFT_REJECTION,Aars,234734,ENSMUSG00000031960,AARS1,16,ENSG00000090861,M5950,"","","","",Genes up-regulated during transplant rejection.,10090,EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam,12
H,"",HALLMARK_ALLOGRAFT_REJECTION,Abce1,24015,ENSMUSG00000058355,ABCE1,6059,ENSG00000164163,M5950,"","","","",Genes up-regulated during transplant rejection.,10090,EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam,12
H,"",HALLMARK_ALLOGRAFT_REJECTION,Abi1,11308,ENSMUSG00000058835,ABI1,10006,ENSG00000136754,M5950,"","","","",Genes up-regulated during transplant rejection.,10090,EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam,12
H,"",HALLMARK_ALLOGRAFT_REJECTION,Ache,11423,ENSMUSG00000023328,ACHE,43,ENSG00000087085,M5950,"","","","",Genes up-regulated during transplant rejection.,10090,EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|PhylomeDB|Treefam,11
H,"",HALLMARK_ALLOGRAFT_REJECTION,Acvr2a,11480,ENSMUSG00000052155,ACVR2A,92,ENSG00000121989,M5950,"","","","",Genes up-regulated during transplant rejection.,10090,EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam,12
H,"",HALLMARK_ALLOGRAFT_REJECTION,Akt1,11651,ENSMUSG00000001729,AKT1,207,ENSG00000142208,M5950,"","","","",Genes up-regulated during transplant rejection.,10090,EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|Treefam,11
H,"",HALLMARK_ALLOGRAFT_REJECTION,Apbb1,11785,ENSMUSG00000037032,APBB1,322,ENSG00000166313,M5950,"","","","",Genes up-regulated during transplant rejection.,10090,EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|Treefam,11
H,"",HALLMARK_ALLOGRAFT_REJECTION,B2m,12010,ENSMUSG00000060802,B2M,567,ENSG00000166710,M5950,"","","","",Genes up-regulated during transplant rejection.,10090,Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther,9
H,"",HALLMARK_ALLOGRAFT_REJECTION,Bcat1,12035,ENSMUSG00000030268,BCAT1,586,ENSG00000060982,M5950,"","","","",Genes up-regulated during transplant rejection.,10090,EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam,12
H,"",HALLMARK_ALLOGRAFT_REJECTION,Bcl10,12042,ENSMUSG00000028191,BCL10,8915,ENSG00000142867,M5950,"","","","",Genes up-regulated during transplant rejection.,10090,Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB,10
H,"",HALLMARK_ALLOGRAFT_REJECTION,Bcl3,12051,ENSMUSG00000053175,BCL3,602,ENSG00000069399,M5950,"","","","",Genes up-regulated during transplant rejection.,10090,EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam,12
H,"",HALLMARK_ALLOGRAFT_REJECTION,Brca1,12189,ENSMUSG00000017146,BRCA1,672,ENSG00000012048,M5950,"","","","",Genes up-regulated during transplant rejection.,10090,EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|Treefam,11
H,"",HALLMARK_ALLOGRAFT_REJECTION,C2,12263,ENSMUSG00000024371,C2,717,ENSG00000166278,M5950,"","","","",Genes up-regulated during transplant rejection.,10090,EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|Treefam,11
H,"",HALLMARK_ALLOGRAFT_REJECTION,Capg,12332,ENSMUSG00000056737,CAPG,822,ENSG00000042493,M5950,"","","","",Genes up-regulated during transplant rejection.,10090,EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|Treefam,11
H,"",HALLMARK_ALLOGRAFT_REJECTION,Cartpt,27220,ENSMUSG00000021647,CARTPT,9607,ENSG00000164326,M5950,"","","","",Genes up-regulated during transplant rejection.,10090,EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam,12
H,"",HALLMARK_ALLOGRAFT_REJECTION,Ccl11,20292,ENSMUSG00000020676,CCL11,6356,ENSG00000172156,M5950,"","","","",Genes up-regulated during transplant rejection.,10090,EggNOG|Ensembl|HGNC|HomoloGene|OMA|OrthoDB|OrthoMCL|PhylomeDB|Treefam,9
H,"",HALLMARK_ALLOGRAFT_REJECTION,Ccl11,20292,ENSMUSG00000020676,CCL13,6357,ENSG00000181374,M5950,"","","","",Genes up-regulated during transplant rejection.,10090,OMA|OrthoDB,2
H,"",HALLMARK_ALLOGRAFT_REJECTION,Ccl2,20296,ENSMUSG00000035385,CCL13,6357,ENSG00000181374,M5950,"","","","",Genes up-regulated during transplant rejection.,10090,HomoloGene|OrthoDB,2
H,"",HALLMARK_ALLOGRAFT_REJECTION,Ccl7,20306,ENSMUSG00000035373,CCL13,6357,ENSG00000181374,M5950,"","","","",Genes up-regulated during transplant rejection.,10090,OMA|OrthoDB,2
H,"",HALLMARK_ALLOGRAFT_REJECTION,Ccl19,24047,ENSMUSG00000071005,CCL19,6363,ENSG00000172724,M5950,"","","","",Genes up-regulated during transplant rejection.,10090,Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam,11
H,"",HALLMARK_ALLOGRAFT_REJECTION,Ccl2,20296,ENSMUSG00000035385,CCL2,6347,ENSG00000108691,M5950,"","","","",Genes up-regulated during transplant rejection.,10090,Ensembl|HGNC|NCBI|OrthoDB|Panther,5
H,"",HALLMARK_ALLOGRAFT_REJECTION,Ccl22,20299,ENSMUSG00000031779,CCL22,6367,ENSG00000102962,M5950,"","","","",Genes up-regulated during transplant rejection.,10090,EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam,12
